_id,Permit_No,Permit_Sticker_No,Permit_Class,Permit_Holder,Permit_Address_Street_No,Permit_Address_Street_Name,Permit_Address_Unit,Permit_Address_Postal_Code,Permit_Address_Ward,Permit_Contact_Phone_No_,Issue_Date,Cancellation_Date,geometry
157270,P90-4313432,P08880,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,18,HILLCREST AVE,,M2N6T5,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.411130707, 43.7681219444)}"
157271,P90-4313431,P08881,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,10,HARLANDALE AVE,,M2N1P1,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4120555815, 43.7624635755)}"
157272,P90-4313426,P08882,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2950,BIRCHMOUNT RD,,M1W3G5,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3068516016, 43.7995570342)}"
157273,P90-4313425,P08883,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2340,BIRCHMOUNT RD,,M1T2M3,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2991185391, 43.7816911043)}"
157274,P90-4313424,P08884,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1530,BIRCHMOUNT RD,,M1P2G9,21,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.291379702, 43.7592937783)}"
157275,P90-4313421,P08885,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,23,BEDFORD PARK AVE,,M5M1H8,8,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4044093035, 43.7268785893)}"
157276,P90-4313418,P08886,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,3300,BAYVIEW AVE,,M2M3R7,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3936591253, 43.7901356097)}"
157277,P90-4313417,P08887,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2545,BAYVIEW AVE,,M2L1B4,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.383725955, 43.748644614)}"
157278,P90-4313416,P08888,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2275,BAYVIEW AVE,,M4N3M6,15,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3780635401, 43.7271765599)}"
157279,P90-4313408,P08889,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,11,GRENVIEW BLVD N,,M8X2J9,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.507718679, 43.648817737)}"
157280,P90-4313410,P08890,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,123,GUILDWOOD PKY,,M1E4V2,24,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.1993737354, 43.7468515948)}"
157281,P90-4313406,P08891,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,15,GREENVIEW AVE,,M2M4M7,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4181432777, 43.7797460191)}"
157282,P90-4313405,P08892,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,30,GREENFIELD AVE,,M2N6N3,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4105427797, 43.7641847772)}"
157283,P90-4313404,P08893,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,101,GRANGEWAY AVE,,M1H3E9,24,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.2500076503, 43.7755643577)}"
157284,P90-4313398,P08894,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,11,GOLDFINCH CRT,,M2R2C2,6,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4498156824, 43.7719556652)}"
157285,P90-4313396,P08895,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,115,GENERATION BLVD,,M1B2K5,25,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.1642967087, 43.8035984436)}"
157286,P90-4313395,P08896,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,95,GENERATION BLVD,,M1B2K7,25,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.1650878576, 43.8044683677)}"
157287,P90-4313394,P08897,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,47,GENERATION BLVD,,M1B2K6,25,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.1667368141, 43.8042090572)}"
157288,P90-4313391,P08898,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,45,GENERATION BLVD,,M1B2K5,25,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.1670746426, 43.8043562465)}"
157289,P90-4313390,P08899,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,400,FRONT ST W,,M5V1B5,10,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3930611705, 43.6432080934)}"
157290,P90-4313389,P08900,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,207,FRONT ST E,,M5A1E8,13,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3661571907, 43.6505293914)}"
157291,P90-4313386,P08901,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,20,FOREST MANOR RD,,M2J1M2,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.344272347, 43.770074042)}"
157292,P90-4313379,P08902,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,2437,FINCH AVE W,,M9M2E7,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.549868744, 43.7496865709)}"
157293,P90-4313377,P08903,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,605,FINCH AVE W,,M2R1P1,6,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.45270965, 43.771328418)}"
157294,P90-4313375,P08904,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,3840,FINCH AVE E,,M1T3T4,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3013451741, 43.8006236994)}"
157295,P90-4313374,P08905,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,3840,FINCH AVE E,,M1T3T4,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3013451741, 43.8006236994)}"
157296,P90-4313372,P08906,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1100,FINCH AVE E,,M2J2X4,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.356301684, 43.79290383)}"
157297,P90-4313371,P08907,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1080,FINCH AVE E,,M2J2X2,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.364941494, 43.790890366)}"
157298,P90-4313355,P08908,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,110,PARKWAY FOREST DR,,M2J1L7,17,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3429451779, 43.7741358989)}"
157299,P90-4313354,P08909,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,1081,PAPE AVE,,M4K3W4,14,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3492656771, 43.6912791482)}"
157300,P90-4313350,P08910,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,991,PAPE AVE,,M4K3V6,14,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3477788441, 43.6874527856)}"
157301,P90-4313349,P08911,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,3,PEMBERTON AVE,,M2M4M1,18,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4143832248, 43.7808410021)}"
157302,P90-4313347,P08912,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,385,PACIFIC AVE,,M6P2R2,4,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4681033063, 43.6649793086)}"
157303,P90-4313344,P08913,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,763,BAY ST,,M5G2R3,11,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.384946296, 43.65995068)}"
157304,P90-4313343,P08914,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,761,BAY ST,,M5G2R2,11,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.384784922, 43.6595017755)}"
157305,P90-4313342,P08915,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,186,BARTLEY DR,,M4A1E1,16,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3131859351, 43.7210334816)}"
157306,P90-4313341,P08916,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,125,BAMBURGH CIR,,M1W3G4,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.325615359, 43.8130997118)}"
157307,P90-4313340,P08917,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,75,BAMBURGH CIR,,M1W3W1,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.325326048, 43.8144836794)}"
157308,P90-4313338,P08918,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,25,BAMBURGH CIR,,M1W3W2,22,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.3255853729, 43.8155060017)}"
157309,P90-4313337,P08919,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,494,AVENUE RD,,M4V2J5,12,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.402478988, 43.687758523)}"
157310,P90-4313334,P08920,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,90,ATKINSON RD,,M3J2S5,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5014720879, 43.771424996)}"
157311,P90-4313333,P08921,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,4700,KEELE ST,,M3J1P3,7,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.502338172, 43.773410085)}"
157312,P90-4313330,P08922,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,265,ARMADALE AVE,,M6S3X5,4,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4829398556, 43.6503586902)}"
157313,P90-4313329,P08923,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,140,ANTIBES DR,,M2R3J3,6,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.446976563, 43.781154978)}"
157314,P90-4313326,P08924,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,243,ALBERTA AVE,,M6C3X4,9,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.4337829063, 43.6807627856)}"
157315,P90-4313323,P08925,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),OASIS CLOTHING BANK,128,EIGHTH ST,,M8V3C4,3,(416) 751-0553,20140327,,"{u'type': u'Point', u'coordinates': (-79.5069187752, 43.6009756792)}"
157316,P90-4422917,P09162,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,88,ERSKINE AVE,,M4P1Y3,15,(416) 633-6224,20140624,,"{u'type': u'Point', u'coordinates': (-79.396030619, 43.712387601)}"
157317,P90-4422909,P09163,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,270,WILSON AVE,,M3H1S6,6,(416) 633-6224,20140624,,"{u'type': u'Point', u'coordinates': (-79.4332748837, 43.7377343902)}"
157318,P90-4422907,P09164,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,640,ROSELAWN AVE,,M5N1K9,8,(416) 633-6224,20140624,,"{u'type': u'Point', u'coordinates': (-79.4236275108, 43.7061584486)}"
157319,P90-4422901,P09165,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,270,WILSON AVE,,M3H1S6,6,(416) 633-6224,20140624,,"{u'type': u'Point', u'coordinates': (-79.4332748837, 43.7377343902)}"
157320,P90-4422899,P09166,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,225,WILSON AVE,,M5M3B2,8,(416) 633-6224,20140624,,"{u'type': u'Point', u'coordinates': (-79.427971659, 43.7381824127)}"
157321,P90-4534925,900176,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),AMJ RECYCLING INC,2050,KEELE ST,,M6M3Y7,5,(647) 295-6973,20160209,,"{u'type': u'Point', u'coordinates': (-79.4763948236, 43.6979738679)}"
157322,P90-4533962,900174,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),AMJ RECYCLING INC,1021,MARKHAM RD,,M1H2Y5,24,(647) 295-6973,20160209,,"{u'type': u'Point', u'coordinates': (-79.2305038013, 43.7738067794)}"
157323,P90-4419794,P09236,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,2737,KIPLING AVE,,M9V4C3,1,,20140714,,"{u'type': u'Point', u'coordinates': (-79.586565549, 43.753301348)}"
157324,P90-4419793,P09235,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,1386,BAYVIEW AVE,,M4G3A1,15,,20140714,,"{u'type': u'Point', u'coordinates': (-79.3735355489, 43.7006307773)}"
157325,P90-4419792,P09234,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,740,DUFFERIN ST,,M6H3K6,9,,20140714,,"{u'type': u'Point', u'coordinates': (-79.432875869, 43.652805894)}"
157326,P90-4419791,P09233,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,31,ST DENNIS DR,,M3C1G7,16,,20140714,,"{u'type': u'Point', u'coordinates': (-79.329585029, 43.718572186)}"
157327,P90-4419778,P09232,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,100,PARKWAY FOREST DR,,M2J1L6,17,,20140714,,"{u'type': u'Point', u'coordinates': (-79.341888452, 43.7732938861)}"
157328,P90-4419769,P09231,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,2548,KIPLING AVE,,M9V3B1,1,,20140714,,"{u'type': u'Point', u'coordinates': (-79.583968046, 43.745263651)}"
157329,P90-4419768,P09230,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,1915,MARTIN GROVE RD,,M9V3T2,1,,20140714,,"{u'type': u'Point', u'coordinates': (-79.5951234793, 43.7459657464)}"
157330,P90-4419757,P09229,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,365,GRANDRAVINE DR,,M3N1J7,7,,20140714,,"{u'type': u'Point', u'coordinates': (-79.514825722, 43.746942425)}"
157331,P90-4419754,P09228,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,95,HAVENBROOK BLVD,,M2J1A9,17,,20140714,,"{u'type': u'Point', u'coordinates': (-79.3473075283, 43.7688139457)}"
157332,P90-4419753,P09227,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,40,STEVENSON RD,,M9V2B2,1,,20140714,,"{u'type': u'Point', u'coordinates': (-79.585660851, 43.744225114)}"
157333,P90-4419747,P09226,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,33,HOLLY ST,,M4S2G8,12,,20140714,,"{u'type': u'Point', u'coordinates': (-79.3961812155, 43.7058967719)}"
157334,P90-4419743,P09225,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,66,BROADWAY AVE,,M4P1T6,15,,20140714,,"{u'type': u'Point', u'coordinates': (-79.395372421, 43.7106820232)}"
157335,P90-4419742,P09224,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,368,EGLINTON AVE E,,M4P1L9,15,,20140714,,"{u'type': u'Point', u'coordinates': (-79.3868949941, 43.7094642809)}"
157336,P90-4419741,P09223,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,95,REDPATH AVE,,M4S2K1,12,,20140714,,"{u'type': u'Point', u'coordinates': (-79.3920429105, 43.7069494634)}"
157337,P90-4419740,P09222,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,2515,BATHURST ST,,M6B2Z1,8,,20140714,,"{u'type': u'Point', u'coordinates': (-79.4260651529, 43.7056275086)}"
157338,P90-4419739,P09221,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,1865,MARTIN GROVE RD,,M9V3S7,1,,20140714,,"{u'type': u'Point', u'coordinates': (-79.5934989026, 43.7425445347)}"
157339,P90-4419736,P09220,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,25,CEDARCROFT BLVD,,M2R2Z3,6,,20140714,,"{u'type': u'Point', u'coordinates': (-79.4474072647, 43.7831736555)}"
157340,P90-4419731,P09219,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,8,GODSTONE RD,,M2J3C4,17,,20140714,,"{u'type': u'Point', u'coordinates': (-79.3463837726, 43.7801532474)}"
157341,P90-4543108,900178,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),AMJ RECYCLING INC,400,SEWELLS RD,,M1B5K8,25,(647) 295-6973,20160209,,"{u'type': u'Point', u'coordinates': (-79.210975926, 43.8171465045)}"
157342,P90-4543107,900177,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),AMJ RECYCLING INC,2850,KINGSTON RD,,M1M1M7,20,(647) 295-6973,20160209,,"{u'type': u'Point', u'coordinates': (-79.2384508009, 43.7210445226)}"
157343,P90-4427729,P09334,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,5215,YONGE ST,,M2N5P7,18,,20140918,,"{u'type': u'Point', u'coordinates': (-79.4130177149, 43.7708879047)}"
157344,P90-4427875,P09335,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,3205,YONGE ST,,M4N2L3,15,,20140919,,"{u'type': u'Point', u'coordinates': (-79.4027125949, 43.7280197219)}"
157345,P90-4427977,P09327,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,450,WINONA DR,,M6C3T9,12,,20140924,,"{u'type': u'Point', u'coordinates': (-79.435821172, 43.6888376633)}"
157346,P90-4427980,P09330,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,88,ALTON TOWERS CIR,,M1V5C5,23,,20140924,,"{u'type': u'Point', u'coordinates': (-79.2744770521, 43.824781844)}"
157347,P90-4427976,P09326,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,921,WILSON AVE,,M3K1E9,6,,20140924,,"{u'type': u'Point', u'coordinates': (-79.4683498734, 43.7298122632)}"
157348,P90-4427946,P09323,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,1795,JANE ST,,M9N2S7,5,,20140924,,"{u'type': u'Point', u'coordinates': (-79.5040013996, 43.7066838334)}"
157349,P90-4427945,P09333,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,2900,JANE ST,,M3N2J7,7,,20140924,,"{u'type': u'Point', u'coordinates': (-79.5178280471, 43.7531434812)}"
157350,P90-4427941,P09325,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,1455,WILSON AVE,,M3M1H4,6,,20140924,,"{u'type': u'Point', u'coordinates': (-79.5027970015, 43.7217833444)}"
157351,P90-4427857,P09332,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,1465,LAWRENCE AVE W,,M6L1B2,5,,20140924,,"{u'type': u'Point', u'coordinates': (-79.4803989264, 43.7073903147)}"
157352,P90-4427842,P09331,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,80,ALTON TOWERS CIR,,M1V5E8,23,,20140924,,"{u'type': u'Point', u'coordinates': (-79.2739795237, 43.8237802115)}"
157353,P90-4427840,P09328,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,100,DUNDALK DR,,M1P4V2,21,,20140924,,"{u'type': u'Point', u'coordinates': (-79.287174847, 43.770247376)}"
157354,P90-4427838,P09329,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,65,REXDALE BLVD,,M9W1P1,1,,20140924,,"{u'type': u'Point', u'coordinates': (-79.5600066099, 43.7127007026)}"
157355,P90-4427833,P09324,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN COMMUNITY SUPPORT FOUNDATION,50,GRAYDON HALL DR,,M3A3A4,16,,20140924,,"{u'type': u'Point', u'coordinates': (-79.3457777572, 43.7646219323)}"
157356,P90-4428332,P09361,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,638,SHEPPARD AVE W,,M3H2S1,6,(416) 633-6224,20141014,,"{u'type': u'Point', u'coordinates': (-79.440968973, 43.75547734)}"
157357,P90-4428333,P09362,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,638,SHEPPARD AVE W,,M3H2S1,6,(416) 633-6224,20141014,,"{u'type': u'Point', u'coordinates': (-79.440968973, 43.75547734)}"
157358,P90-4428825,900926,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,743,BIRCHMOUNT RD,,M1K1R5,20,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.27568808, 43.725092795)}"
157359,P90-4428847,900929,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,609,THE EAST MALL,,M9B4A9,2,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.5652854963, 43.6567059694)}"
157360,P90-4428855,900933,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,1300,CASTLEFIELD AVE,,M6B4B3,8,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.460990052, 43.69933554)}"
157361,P90-4428856,900928,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,435,BROWNS LINE,,M8W3V1,3,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.5449109093, 43.6021695229)}"
157362,P90-4428985,900934,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2333,KEELE ST,,M6M4A1,5,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.4770734322, 43.7058587288)}"
157363,P90-4429002,900935,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,3160,EGLINTON AVE E,,M1J2H4,24,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.2217994683, 43.7429955834)}"
157364,P90-4429020,900930,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,707,KENNEDY RD,,M1K2C1,20,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.2656002129, 43.7278782037)}"
157365,P90-4429026,900936,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,3497,DUNDAS ST W,,M6S2S6,4,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.4886597327, 43.6654719294)}"
157366,P90-4429067,900927,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,356,EASTERN AVE,,M4M1B8,14,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.347217418, 43.6567877511)}"
157367,P90-4429069,900932,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,1110,FLINT RD,,M3J2J5,6,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.4819842333, 43.7777770614)}"
157368,P90-4429070,900931,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,150,CLONMORE DR,,M1N1Y1,20,(416) 894-1666,20141106,,"{u'type': u'Point', u'coordinates': (-79.27807321, 43.68956651)}"
157369,P90-4430372,900937,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),AMJ RECYCLING INC,3700,MIDLAND AVE,,M1V4V3,22,(647) 295-6973,20141121,,"{u'type': u'Point', u'coordinates': (-79.2933211369, 43.814989307)}"
157370,P90-4430378,900061,CLOTHING DROP BOX LOCATION PERMIT (FOR PROFIT),AMJ RECYCLING INC,3331,MARKHAM RD,,M1X1S8,23,(647) 295-6973,20141121,,"{u'type': u'Point', u'coordinates': (-79.2504186882, 43.8352202004)}"
