Building Address,Construction Completion Year,Name of Historic Resource,Neighbourhood,Warning Type 1,Warning Type 2,Latitude,Longitude,Location
14740 - 111 AVENUE NW,1957,Ford Motor Company,HUFF BREMNER ESTATE INDUSTRIAL,Inventory of Historic Resources,,53.559725,-113.575700,"(53.55972450334748, -113.5757002291006)"
13210 - BUENA VISTA ROAD NW,1949,Yorath House,RIVER VALLEY CAPITOL HILL,Municipal Historic Resource,,53.518800,-113.550074,"(53.51879991180203, -113.55007401753515)"
10203 - PRINCESS ELIZABETH AVENUE NW,1957,Princess Elizabeth Avenue Apartments,SPRUCE AVENUE,Inventory of Historic Resources,,53.568068,-113.497521,"(53.56806778587081, -113.49752080970417)"
11908 - 91 STREET NW,1923,C. Kopeck Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.572292,-113.481649,"(53.5722921709738, -113.48164880234734)"
9610 - 103 Street NW,,9610 - 103 Street NW,ROSSDALE,Inventory of Historic Resources,,53.532791,-113.497933,"(53.53279087614829, -113.49793325055525)"
10821 - 84 AVENUE NW,1913,Douglas Telfer Residence,GARNEAU,Inventory of Historic Resources,,53.519771,-113.510479,"(53.51977106455521, -113.51047941626886)"
6526 - 111 Avenue,1914,Ira W. Stephens Residence,HIGHLANDS,Municipal Historic Resource,,53.562925,-113.437965,"(53.56292458122957, -113.43796489248221)"
13618 - 103 AVENUE NW,1924,Allyn Residence,GLENORA,Inventory of Historic Resources,,53.544901,-113.557318,"(53.54490060609203, -113.55731782245967)"
10401 - 82 AVENUE NW,1908,Royal Bank,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517794,-113.497862,"(53.51779388469286, -113.49786162320254)"
1 Alexander Circle NW,1969,Ostolosky Residence,GLENORA,Inventory of Historic Resources,,53.545203,-113.550953,"(53.54520264235075, -113.55095310656016)"
16505 - 107 Avenue NW,1958,Jasper Place Curling Club,BRITANNIA YOUNGSTOWN,Inventory of Historic Resources,,53.550918,-113.606144,"(53.55091750563609, -113.60614412973172)"
11404 - 89 AVENUE NW,1950,University Hall,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
13612 - 103 AVENUE NW,1921,Brennan Residence,GLENORA,Inventory of Historic Resources,,53.544915,-113.556968,"(53.54491516845998, -113.5569682885578)"
11702 - 93 STREET NW,1914,James Blatchford Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.569014,-113.484645,"(53.5690135031246, -113.48464512922197)"
10728 - 125 STREET NW,1912,Schlader Residence,WESTMOUNT,Inventory of Historic Resources,,53.551825,-113.538177,"(53.55182463920107, -113.53817653815953)"
10328 - CONNAUGHT DRIVE NW,1911,Dr. Robert Wells Residence,GLENORA,Municipal Historic Resource,Provincial Registered Historic Resource,53.545385,-113.544279,"(53.54538491786714, -113.5442785879434)"
11816 - 109 Street,1942,Hanger #8,EDMONTON MUNICIPAL AIRPORT,Inventory of Historic Resources,,53.572217,-113.519135,"(53.57221686746055, -113.51913545005536)"
7680 - JASPER AVENUE NW,1931,Captian John Hall Residence,RIVER VALLEY KINNAIRD,Inventory of Historic Resources,,53.557813,-113.456174,"(53.55781330483756, -113.45617362943779)"
10417 - Saskatchewan Drive,1913,George Durrand Residence,STRATHCONA,Municipal Historic Resource,,53.523063,-113.498588,"(53.52306250236329, -113.49858771904033)"
10757 - 83 Avenue,1913,Douglas Manor,STRATHCONA,Municipal Historic Resource,,53.518820,-113.509039,"(53.518820404266734, -113.50903916501404)"
10611 - 137 STREET NW,1953,Lawson Residence,GLENORA,Inventory of Historic Resources,,53.549816,-113.557533,"(53.549816006342375, -113.5575329329309)"
8108 - 101 STREET NW,1925,A Minchau Blacksmith Shop,RITCHIE,Inventory of Historic Resources,,53.517337,-113.491595,"(53.51733731828024, -113.49159481562447)"
10034 - 80 Avenue,1933,Residence,RITCHIE,Inventory of Historic Resources,,53.516387,-113.490011,"(53.51638712123454, -113.49001146192381)"
10220 - 130 Street NW,1930,Martin Residence,GLENORA,Inventory of Historic Resources,,53.543698,-113.546363,"(53.543698433291404, -113.54636297216277)"
11305 - 68 STREET NW,1936,Field Log House,BELLEVUE,Inventory of Historic Resources,,53.565570,-113.442838,"(53.56556958589977, -113.4428376574576)"
9127 - 117 STREET NW,c1909,George Harcourt Residence,WINDSOR PARK,Municipal Historic Resource,,53.527206,-113.532026,"(53.52720572571301, -113.53202645892036)"
11643 - 93 STREET NW,1914,Richard Longstaffe Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.568654,-113.483786,"(53.56865448529319, -113.48378597548894)"
10951 - 123 STREET NW,1914,Walls Residence,WESTMOUNT,Inventory of Historic Resources,,53.555463,-113.533662,"(53.555463040364195, -113.53366157108199)"
23 Wellington Crescent NW,1929,Freeman Residence,GLENORA,Inventory of Historic Resources,,53.541844,-113.547411,"(53.54184384779758, -113.54741066180796)"
5903 Capilano Crescent,1978,Grotski Residence,CAPILANO,Municipal Historic Resource,,53.559707,-113.424765,"(53.55970691297614, -113.42476531056681)"
10263 - 97 STREET NW,1915,Central Dye Works,BOYLE STREET,Inventory of Historic Resources,,53.545462,-113.486361,"(53.54546242486829, -113.48636084172169)"
8622 - 101 Street,1914,Richard Joyce Residence,STRATHCONA,Inventory of Historic Resources,,53.522422,-113.491493,"(53.5224224587115, -113.49149310238435)"
7000 - 143 STREET NW,1938,Al Rashid Mosque,RIVER VALLEY FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
10330 - 84 Avenue NW,1951,Strathcona Bus Garage,STRATHCONA,Inventory of Historic Resources,,53.519796,-113.495975,"(53.51979579893026, -113.49597534300979)"
10918 - 125 STREET NW,1914,Emery Residence,WESTMOUNT,Inventory of Historic Resources,,53.554553,-113.538180,"(53.554553349669895, -113.53818019483701)"
8734 - 112 AVENUE NW,1946,Frost Residence,PARKDALE,Inventory of Historic Resources,,53.561365,-113.476396,"(53.56136526501869, -113.4763955047431)"
9943 - 80 Avenue,1923,Alfred Baird Residence,RITCHIE,Inventory of Historic Resources,,53.515840,-113.488347,"(53.515840420108105, -113.48834745955645)"
9537 - 103 AVENUE NW,1912,Rodd Apartments,BOYLE STREET,Municipal Historic Resource,,53.546469,-113.481425,"(53.54646896714389, -113.48142479530125)"
10416 Glenora Crescent NW,1933-1934,See House/Hyndman Residence,GLENORA,Inventory of Historic Resources,,53.546791,-113.548382,"(53.54679094734354, -113.5483823304)"
13020 - 117 STREET NW,1914,Gagne Residence,CALDER,Inventory of Historic Resources,,53.590712,-113.523866,"(53.590712183759365, -113.52386637820725)"
9517 - 103 AVENUE NW,1912,Goldberg Residence,BOYLE STREET,Inventory of Historic Resources,,53.546619,-113.480548,"(53.54661945261215, -113.48054756881419)"
10742 - 83 Avenue,1933,Klyft Residence,GARNEAU,Inventory of Historic Resources,,53.519362,-113.508355,"(53.51936187295111, -113.50835548080565)"
10533 - 130 STREET NW,,Dr. Bako Residence,WESTMOUNT,Inventory of Historic Resources,,53.548787,-113.545753,"(53.548787437757696, -113.54575289293031)"
10645 - 96 STREET NW,1914,Deutsch Baptist Kirke (Mustard Seed Church),MCCAULEY,Inventory of Historic Resources,,53.551907,-113.485564,"(53.55190714745574, -113.48556439747803)"
10637 - 126 Street NW,1913,Rogers Residence,WESTMOUNT,Inventory of Historic Resources,,53.550487,-113.538956,"(53.55048652919449, -113.53895599006472)"
9609 - 102A AVENUE NW,1911,Koermann Block,BOYLE STREET,Inventory of Historic Resources,,53.545339,-113.483263,"(53.54533903491386, -113.48326255006741)"
6 Wellington Crescent NW,1950,Sprague Residence,GLENORA,Inventory of Historic Resources,,53.541986,-113.546346,"(53.541986235856896, -113.54634603140474)"
11434 - 82 STREET NW,1912,Fleming Residnece,PARKDALE,Inventory of Historic Resources,,53.565316,-113.467729,"(53.56531614403633, -113.46772880620877)"
9840 - 89 AVENUE NW,1913,George Kitchen Residence,STRATHCONA,Inventory of Historic Resources,,53.524737,-113.484803,"(53.52473651701852, -113.48480285355777)"
9825 - 86 AVENUE NW,1914,A.K. Buckham,STRATHCONA,Municipal Historic Resource,,53.521548,-113.484059,"(53.52154783834622, -113.4840592590592)"
10139 - 116 STREET NW,1912,Balfour Manor,OLIVER,Municipal Historic Resource,,53.541885,-113.520772,"(53.54188508962014, -113.520772212892)"
10414 - 134 STREET NW,1948,Brody Residence,GLENORA,Inventory of Historic Resources,,53.546779,-113.553431,"(53.546778970250074, -113.55343077129407)"
9916 - 110 STREET NW,1935,Oblate Maison Provinciale,OLIVER,Municipal Historic Resource,Provincial Historic Resource,53.537878,-113.510798,"(53.537877713224006, -113.51079800492339)"
11425 - 95A Street NW,1913,Barto Residence,ALBERTA AVENUE,Municipal Historic Resource,,53.565024,-113.488251,"(53.56502394370548, -113.48825091188853)"
11846 - 91 STREET NW,1914,Henry Bruce Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.571703,-113.481647,"(53.571702842033226, -113.48164699980767)"
9945 - 85 AVENUE NW,1912,Alexander Benson Residence,STRATHCONA,Inventory of Historic Resources,,53.520679,-113.488387,"(53.52067928231141, -113.48838736459312)"
10311 - 134 Street NW,1942,MacKenzie Residence,GLENORA,Inventory of Historic Resources,,53.544922,-113.552692,"(53.54492163831713, -113.55269232703276)"
11149 - 64 STREET NW,1912,Ernest Brown Residence,HIGHLANDS,Inventory of Historic Resources,,53.564798,-113.435635,"(53.56479838584638, -113.43563546515686)"
10422 - 134 STREET NW,1950,Warren Residence,GLENORA,Inventory of Historic Resources,,53.547053,-113.553431,"(53.547052828214625, -113.55343088122929)"
9659 - 105A AVENUE NW,1908,Perfection Tailoring And Clothing Company,MCCAULEY,Inventory of Historic Resources,,53.549242,-113.487932,"(53.54924209579595, -113.487931684742)"
10534 - 126 STREET NW,1911,Campbell Residence,WESTMOUNT,Inventory of Historic Resources,,53.548782,-113.539946,"(53.54878234106014, -113.53994594869043)"
10242 - WADHURST ROAD NW,1912,Clifford Bernardine Residence,WESTMOUNT,Inventory of Historic Resources,,53.544429,-113.540280,"(53.544428675922916, -113.54028023963959)"
10503 - 129 STREET NW,1923,Foote Residence,WESTMOUNT,Inventory of Historic Resources,,53.548084,-113.544041,"(53.54808426604931, -113.54404122297689)"
9720 - 111 STREET NW,1909,William Mackay Residence,OLIVER,Inventory of Historic Resources,,53.534681,-113.512645,"(53.534680937805035, -113.51264528460243)"
10048 - 113 STREET NW,1963,St. Joseph's Basilica,OLIVER,Inventory of Historic Resources,,53.540593,-113.517074,"(53.54059263129049, -113.5170737665985)"
10534 - 100 STREET NW,1930,Immigration Hall,MCCAULEY,Municipal Historic Resource,,53.548468,-113.492053,"(53.54846768240851, -113.49205329683939)"
12130 River Valley Road,1911,Victoria Park,RIVER VALLEY VICTORIA,Inventory of Historic Resources,,53.535529,-113.523371,"(53.53552923709788, -113.52337098979395)"
10954 - 88 Avenue,1930,Gordon L. Gould Residence,GARNEAU,Inventory of Historic Resources,,53.524117,-113.514627,"(53.52411743989836, -113.51462681479124)"
11511 - 75 AVENUE NW,1914,William Fraser Residence,BELGRAVIA,Municipal Historic Resource,,53.511040,-113.529440,"(53.51103961759397, -113.52944047257866)"
11148 - 123 STREET NW,1932,Curry Residence,INGLEWOOD,Inventory of Historic Resources,,53.560319,-113.534642,"(53.560318819701955, -113.53464238349211)"
9742 - 76 Avenue,1919,Everett G. McNeilly Residence,RITCHIE,Inventory of Historic Resources,,53.512575,-113.481741,"(53.512574829555355, -113.48174129477856)"
11847 - 96 STREET NW,1944,Concrete Triplex,ALBERTA AVENUE,Inventory of Historic Resources,,53.571775,-113.489977,"(53.57177527387371, -113.48997707163277)"
11441 - 95A STREET NW,1913,Anderson-Taylor Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.565476,-113.488255,"(53.565475655202754, -113.48825539498014)"
10304 - 111 STREET NW,1956,Sandford Oils Building,OLIVER,Inventory of Historic Resources,,53.545196,-113.512632,"(53.54519572050523, -113.5126324430975)"
9934 - 114 STREET NW,1909,Hugh Campbell Residence,OLIVER,Inventory of Historic Resources,,53.538256,-113.518155,"(53.53825559585731, -113.51815512277915)"
7112 - 105A STREET NW,1912,Donald A. McMillan Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.507727,-113.503111,"(53.507726694726436, -113.50311087611482)"
13618 - 100 Avenue NW,1952,Gaboury Residence,GLENORA,Inventory of Historic Resources,,53.540801,-113.557379,"(53.5408006908369, -113.55737876766898)"
11219 - 100 AVENUE NW,1908,Weinlos Residence,OLIVER,Inventory of Historic Resources,,53.538607,-113.515032,"(53.538607037755675, -113.51503222977291)"
8403 - 104 STREET NW,1907,Knox Evangelical Free Church (Knox Presbyterian Church),STRATHCONA,Municipal Historic Resource,Provincial Registered Historic Resource,53.520299,-113.496940,"(53.5202989706028, -113.49694028495807)"
9513 - 103 AVENUE NW,1907,Administrator Lea Residence,BOYLE STREET,Inventory of Historic Resources,,53.546642,-113.480396,"(53.54664205439419, -113.48039649730497)"
11119 - 62 STREET NW,1916,Margaret Marshall Residence,HIGHLANDS,Municipal Historic Resource,,53.565051,-113.432429,"(53.56505092593785, -113.43242926657936)"
10341 - VILLA AVENUE NW,1926,Lodge Residence,WESTMOUNT,Inventory of Historic Resources,,53.545503,-113.539332,"(53.54550294546021, -113.53933210185087)"
9821 - 93 AVENUE NW,1914,Peter Stenrue Residence,STRATHCONA,Inventory of Historic Resources,,53.527988,-113.483833,"(53.52798845489807, -113.4838329080082)"
4001 - 118 Avenue NW,1920,Beverly Heights Cenotaph Park (Beverly Memorial Cenotaph and Park),BEVERLY HEIGHTS,Municipal Historic Resource,,53.570114,-113.403587,"(53.57011398718351, -113.40358697288238)"
10624 - 84 Avenue,1914,Patrick Rose Residence,STRATHCONA,Inventory of Historic Resources,,53.520304,-113.504760,"(53.52030385754081, -113.50475961426524)"
10242 - CONNAUGHT DRIVE NW,1915,Wm. Brown Residence,GLENORA,Inventory of Historic Resources,,53.544083,-113.543091,"(53.54408322298256, -113.54309141459004)"
5303 - 111 AVENUE NW,1951,Residence,HIGHLANDS,Inventory of Historic Resources,,53.565781,-113.423344,"(53.565781035271506, -113.42334422726535)"
8035 - ARGYLL ROAD NW,1957,Argyll Substation,CORONET ADDITION INDUSTRIAL,Inventory of Historic Resources,,53.504484,-113.449528,"(53.5044839254936, -113.44952792650815)"
12504 - Fox Drive,1917,Whitemud Equine Centre,RIVER VALLEY WHITEMUD,Inventory of Historic Resources,,53.504823,-113.551167,"(53.50482250829161, -113.55116690000244)"
10324 - 130 Street NW,1923,Curtis Residence,GLENORA,Inventory of Historic Resources,,53.545349,-113.546322,"(53.54534866051478, -113.54632226788223)"
15 Wellington Crescent NW,1934,Glencairn,GLENORA,Inventory of Historic Resources,,53.540335,-113.547456,"(53.54033530774061, -113.54745582208702)"
10226 - CONNAUGHT DRIVE NW,1915,Goodridge Residence,GLENORA,Inventory of Historic Resources,,53.543743,-113.542199,"(53.54374274007668, -113.542199157076)"
7000 - 143 Street,1885,Peter Erasmus House,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
10958 - 85 AVENUE NW,1929,James Millar Residence,GARNEAU,Inventory of Historic Resources,,53.521265,-113.514699,"(53.521265087546915, -113.51469911627937)"
10950 - 84 Avenue,1934,Sam McCoppen Residence,GARNEAU,Inventory of Historic Resources,,53.520318,-113.514415,"(53.52031835052496, -113.5144152284043)"
40 St. George's Crescent NW,1939,Wilson Residence,GLENORA,Inventory of Historic Resources,,53.540648,-113.551801,"(53.54064821273103, -113.55180084717193)"
9547 - 83 Street,1962,EPCOR Substation No. 510,STRATHCONA,Inventory of Historic Resources,,53.518756,-113.476149,"(53.51875616227407, -113.47614889506814)"
12909 - 121 STREET NW,1917,Grant McConachie,CALDER,Inventory of Historic Resources,Provincial Registered Historic Resource,53.587894,-113.529971,"(53.58789412114708, -113.52997099187274)"
10605 - 96 STREET NW,1905,Grace methodist Church,MCCAULEY,Inventory of Historic Resources,,53.551036,-113.485147,"(53.5510360837826, -113.48514672725807)"
13416 - 109 AVENUE NW,1952,North Glenora Patio Homes,NORTH GLENORA,Inventory of Historic Resources,,53.555316,-113.555065,"(53.555316449579365, -113.55506525497725)"
11010 - 80 AVENUE NW,1912,John Robinson Residence,GARNEAU,Inventory of Historic Resources,,53.516430,-113.515504,"(53.516430425475306, -113.51550384189964)"
11209 - 127 STREET NW,1914,Coote Residence,INGLEWOOD,Inventory of Historic Resources,Provincial Registered Historic Resource,53.560826,-113.540696,"(53.56082554506012, -113.54069633706001)"
8123 - 104 STREET NW,1908,Malone Block,STRATHCONA JUNCTION,Inventory of Historic Resources,,53.517757,-113.497266,"(53.51775697381809, -113.49726581129269)"
10505 - 82 AVENUE NW,1912,South Side Post Office,QUEEN ALEXANDRA,Inventory of Historic Resources,Provincial Historic Resource,53.517765,-113.500831,"(53.51776517999443, -113.5008314969499)"
11118 - 127 STREET NW,1925,Moffatt Residence,INGLEWOOD,Inventory of Historic Resources,,53.559488,-113.541650,"(53.55948773567319, -113.5416500347879)"
10425 - 99 AVENUE NW,1912,McKay Aveue Public School,DOWNTOWN,Municipal Historic Resource,Provincial Historic Resource,53.536825,-113.500167,"(53.53682545694203, -113.50016700863053)"
11404 - 89 AVENUE NW,1913,University of Alberta Dentistry / Pharmacy Centre,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
10527 - 142 STREET NW,1950,Glenora Firehall No.4,GLENORA,Inventory of Historic Resources,,53.548091,-113.565217,"(53.54809135999727, -113.56521662548765)"
13854 Ravine Drive NW,1954,Schlain Residence,GLENORA,Inventory of Historic Resources,,53.539683,-113.562554,"(53.53968314760005, -113.5625535941206)"
10105 - 112 AVENUE NW,1912,North Telephone Exchange,SPRUCE AVENUE,Municipal Historic Resource,Provincial Registered Historic Resource,53.560826,-113.494246,"(53.56082631315604, -113.49424646205108)"
13858 RAVINE DRIVE NW,1965,Michaelchuk Residence,GLENORA,Inventory of Historic Resources,,53.539645,-113.562845,"(53.53964479813748, -113.56284471761562)"
11344 - 62 STREET NW,1947,Residence,HIGHLANDS,Inventory of Historic Resources,,53.568516,-113.435703,"(53.56851629392131, -113.43570251687225)"
10952 - 125 STREET NW,1923,Fitzgerald Residence,WESTMOUNT,Inventory of Historic Resources,,53.555547,-113.538182,"(53.555546544980366, -113.53818208946406)"
11240 - 79 STREET NW,1931,Cromdale School,CROMDALE,Inventory of Historic Resources,,53.562011,-113.463269,"(53.56201117087765, -113.4632689351537)"
109-112 Sts. - 82 Avenue,1911,Boulevard and Median Elms #2,GARNEAU,Inventory of Historic Resources,,53.518619,-113.513141,"(53.51861871099869, -113.51314055652195)"
10824 - 125 STREET NW,1921,Freeze Residence,WESTMOUNT,Inventory of Historic Resources,,53.553276,-113.538178,"(53.55327554135521, -113.53817819022231)"
9751 - 72 Avenue,1917,Diggory Residence,HAZLEDEAN,Inventory of Historic Resources,,53.508268,-113.482310,"(53.50826794841212, -113.48230975566919)"
11124 - 86 AVENUE NW,1914,John Lyons Residence,GARNEAU,Inventory of Historic Resources,,53.522220,-113.519097,"(53.522220457090114, -113.51909673755803)"
10229 - 105 STREET NW,1914,H.V. Shaw Building,DOWNTOWN,Municipal Historic Resource,,53.543669,-113.500547,"(53.54366938242206, -113.50054660024402)"
10044 - 113 STREET NW,1926,Archibishop's Palace,OLIVER,Inventory of Historic Resources,,53.540247,-113.516315,"(53.54024686679785, -113.51631486945546)"
9652 - JASPER AVENUE NW,1949,Cowan Block,BOYLE STREET,Inventory of Historic Resources,,53.543010,-113.483691,"(53.54300956203066, -113.48369074820387)"
11522 - 95A STREET NW,1912,Cecil J. Miller Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.566467,-113.489121,"(53.56646680075846, -113.48912059845756)"
9 - Sir Winston Churchill Square,1947,Churchill Wire Centre,DOWNTOWN,Municipal Historic Resource,,53.543020,-113.491081,"(53.54301989735803, -113.49108138756057)"
10430 - CONNAUGHT DRIVE NW,1952,Greshuk Residence,GLENORA,Inventory of Historic Resources,,53.546867,-113.546106,"(53.54686680633392, -113.546106418737)"
7000 - 143 Street,1886,Kenneth McDonald House,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
10526 - 134 STREET NW,1947,Visser Residence,GLENORA,Inventory of Historic Resources,,53.548778,-113.553432,"(53.548778125419915, -113.55343157030356)"
9629 - 120 AVENUE NW,1950,John Dewar House,ALBERTA AVENUE,Inventory of Historic Resources,,53.573010,-113.491512,"(53.57301012825239, -113.49151160546613)"
11208 - 99 AVENUE NW,1907,Purvis Residence,OLIVER,Inventory of Historic Resources,,53.537501,-113.514490,"(53.53750127445686, -113.51448980658053)"
10033 - 109 STREET NW,1954,First Baptist Church,DOWNTOWN,Inventory of Historic Resources,,53.539747,-113.507880,"(53.539746853665136, -113.50788004275546)"
11717 - 85 Street,1915,Residence,PARKDALE,Inventory of Historic Resources,,53.569472,-113.471377,"(53.569471785204755, -113.47137747064211)"
11326 - 67 STREET NW,1948,Residence,BELLEVUE,Inventory of Historic Resources,,53.566225,-113.442574,"(53.566225493986195, -113.44257441329239)"
10422 - 82 AVENUE NW,1910,Richards Block,STRATHCONA,Municipal Historic Resource,Provincial Historic Resource,53.518394,-113.498557,"(53.518394321385784, -113.49855673791181)"
8203 - 114 STREET NW,1929,Edmonton Normal School,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.517669,-113.523346,"(53.51766853128481, -113.5233456655559)"
10811 - 126 STREET NW,1922,Copleston Residence,WESTMOUNT,Inventory of Historic Resources,,53.553001,-113.538960,"(53.55300124034252, -113.53895966211932)"
7000 - 143 Street,1995,Rutherford House,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
11233 - 63 STREET NW,1912,Bell Residence,HIGHLANDS,Inventory of Historic Resources,,53.566590,-113.435138,"(53.56659039078507, -113.43513767318402)"
10402 - 127 STREET NW,1929,Cautley Residence,WESTMOUNT,Inventory of Historic Resources,,53.546287,-113.541733,"(53.54628724410642, -113.54173343762682)"
11305 - 64 STREET NW,1923,Highlands United Church,HIGHLANDS,Inventory of Historic Resources,,53.567072,-113.437182,"(53.56707204893842, -113.43718196855947)"
11036 - 96 Street,1914,Mui Kwok Buddhist Temple,MCCAULEY,Inventory of Historic Resources,,53.558679,-113.489688,"(53.55867942653129, -113.48968838967272)"
9688 - JASPER AVENUE NW,1912,Hub Hotel/Jasper House,BOYLE STREET,Inventory of Historic Resources,,53.542656,-113.485003,"(53.54265590211156, -113.48500292920295)"
10360 - CONNAUGHT DRIVE NW,1913,G.H. MacDonald Residence,GLENORA,Inventory of Historic Resources,,53.545500,-113.545284,"(53.545499967863485, -113.54528383792896)"
10613 - 95 STREET NW,1902,William Paskins Residence,MCCAULEY,Municipal Historic Resource,,53.551688,-113.481915,"(53.55168842982634, -113.48191479537996)"
9939 - 152 Street NW,1934,Neher Residence,WEST JASPER PLACE,Inventory of Historic Resources,,53.538841,-113.582795,"(53.53884057844084, -113.58279540078578)"
9755 - 70 Avenue,1953,Adolf Hill Residence,HAZELDEAN,Inventory of Historic Resources,,53.506372,-113.482587,"(53.50637218327713, -113.4825869577997)"
8520 - 104 STREET NW,1909,Hugh Duncan Residence,STRATHCONA,Municipal Historic Resource,,53.521674,-113.497953,"(53.521674460370036, -113.49795324950121)"
109 St & 98-89 Avenue,1913,High Level Bridge,BRIDGE,Municipal Historic Resource,,53.530697,-113.510745,"(53.530697, -113.510745)"
11223 - 66 STREET NW,1915,Residence,HIGHLANDS,Inventory of Historic Resources,,53.565241,-113.439318,"(53.5652410872875, -113.43931816963456)"
9404 - SCONA ROAD NW,1959,Northern Alberta Pioneers and Descendants Cabin (Old Timer's Cabin),RIVER VALLEY WALTERDALE,Municipal Historic Resource,,53.529446,-113.487347,"(53.52944604209307, -113.48734677400931)"
8506 - 104 STREET NW,1909,G.W. Robertson Residence,STRATHCONA,Inventory of Historic Resources,,53.521199,-113.498079,"(53.52119923736335, -113.4980793246318)"
11004 - 96 STREET NW,1928,St. Peter's Lutheran Church,MCCAULEY,Inventory of Historic Resources,,53.557854,-113.489290,"(53.557853906241114, -113.48929048338518)"
11003 - 85 AVENUE NW,1912,John Lowther Residence,GARNEAU,Inventory of Historic Resources,,53.520726,-113.515270,"(53.52072552814241, -113.5152702450881)"
12626 - 104 AVENUE NW,1915,Charles Richardson Residence,WESTMOUNT,Inventory of Historic Resources,,53.546442,-113.540864,"(53.54644239211491, -113.54086389725794)"
10972 - 125 STREET NW,1924,Gryde Residence,WESTMOUNT,Inventory of Historic Resources,,53.556335,-113.538185,"(53.55633465974265, -113.53818493097255)"
9821 - 80 AVENUE NW,1913,Triplex,RITCHIE,Inventory of Historic Resources,,53.515830,-113.484030,"(53.51583030601549, -113.48402966146223)"
11322 - 67 STREET NW,1948,Residence,BELLEVUE,Inventory of Historic Resources,,53.566142,-113.442517,"(53.566141746864915, -113.44251738551905)"
11617 - 81 STREET NW,1951,David Blackley Residence,PARKDALE,Inventory of Historic Resources,,53.567848,-113.465102,"(53.56784773090648, -113.46510167037447)"
12207 - Jasper Avenue NW,1961,Valleyview Manor,OLIVER,Municipal Historic Resource,,53.540883,-113.533010,"(53.54088263910944, -113.5330095577743)"
101 - AIRPORT ROAD NW,1941/42,North West Industries Factory,BLATCHFORD AREA,Inventory of Historic Resources,,53.572217,-113.519135,"(53.57221686746055, -113.51913545005536)"
10801 - 116 STREET NW,1950,Joseph Brodeur Residence,QUEEN MARY PARK,Inventory of Historic Resources,,53.553175,-113.520781,"(53.55317470342407, -113.52078051285935)"
13114 - 104 Avenue NW,1930,Janes Residence,GLENORA,Inventory of Historic Resources,,53.546478,-113.548635,"(53.54647840599619, -113.54863480755162)"
9842 - 155 Street NW,1947,Burgess Residence,WEST JASPER PLACE,Inventory of Historic Resources,,53.537431,-113.589049,"(53.537431243129255, -113.58904907903475)"
10569 - 97 STREET NW,1929,Safeway Store,MCCAULEY,Inventory of Historic Resources,,53.549990,-113.488242,"(53.549990346289235, -113.4882420252575)"
9540 - 101 Street,1912,Ross Flats Apartments (Home for Neglected and Delinquent Children),ROSSDALE,Municipal Historic Resource,,53.530033,-113.496345,"(53.53003280317126, -113.49634534136833)"
9696 - 68 JASPER AVENUE NW,1912,Goodridge Building,BOYLE STREET,Municipal Historic Resource,,53.542584,-113.485268,"(53.54258418678294, -113.48526778820165)"
11013 - 125 STREET NW,1914,Eastwood Residence,WESTMOUNT,Inventory of Historic Resources,,53.557789,-113.537196,"(53.557788502724556, -113.53719559314247)"
6124 - 111 AVENUE NW,1912,RW Grierson Residence/Rees Residence,HIGHLANDS,Inventory of Historic Resources,Provincial Historic Resource,53.564790,-113.432337,"(53.56479008974386, -113.43233696917262)"
11204 - 65 STREET NW,1939,The Cozy Corner,HIGHLANDS,Inventory of Historic Resources,,53.564873,-113.438358,"(53.564872965146655, -113.43835833120025)"
11916 - Jasper Avenue,1950,Beth Shalom Synagogue,OLIVER,Inventory of Historic Resources,,53.541286,-113.527986,"(53.54128596622945, -113.52798559816664)"
10534 - 125 STREET NW,1911,Gibbons Residence,WESTMOUNT,Inventory of Historic Resources,Provincial Registered Historic Resource,53.548784,-113.538171,"(53.54878386195689, -113.53817146231442)"
11338- 95A Avenue,1932,Henry James Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.563846,-113.489096,"(53.56384610838806, -113.4890958390674)"
11511 - 75 AVENUE NW,1914,William Fraser Residence,BELGRAVIA,Municipal Historic Resource,,53.511039,-113.529546,"(53.51103947387778, -113.5295461329522)"
