Contravention Date,Contravention In Last 7 Days,Ticket Type,Ticket Description,Contravention Code,Contravention Code Suffix,Contravention Code Description,Ticket Issued Via CCTV Camera,Controlled Parking Zone Area,Street,Vehicle Category,Vehicle Removed,Status Of Case,Charging Band Description,Civil Enforcement Officer Error,Penalty Charge Notice Cancelled,Penalty Charge Notice Written Off,Cancellation Reason,Foreign Vehicle,Country Vehicle Registered To,Has Appeal,Formal Representation,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
24/06/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-K,KILBURN PRIORY NW6,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,E05000140,Kilburn,525620,183487,-0.190161,51.536319,"(51.536319, -0.190161)",Civil Enforcement Officer GPS Location,31/12/2017 03:12:28 AM,1141172
15/04/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-U,GROVE TERRACE NW5,(Private) Car,No,Cancelled,Band A (Higher),Yes,Yes,No,Civil Enforcement Officer (CEO) Error,No,United Kingdom,No,No,E05000137,Highgate,528567,185894,-0.146825,51.557289,"(51.557289, -0.146825)",Civil Enforcement Officer GPS Location,31/12/2017 02:28:14 AM,651911
21/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000135,Hampstead Town,526563,185657,-0.1758,51.555607,"(51.555607, -0.1758)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:27 AM,1072243
18/12/2014,No,O/S TMA,On Street Contravention,19R,R,"Parked in a residents` or shared use parking place or zone either displaying an invalid permit or voucher or pay and display ticket, or after the expiry of paid for time - residents` bay",No,CA-R,GREENCROFT GARDENS NW6,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000144,Swiss Cottage,526101,184388,-0.182918,51.544307,"(51.544307, -0.182918)",Civil Enforcement Officer GPS Location,31/12/2017 02:34:46 AM,731535
21/04/2014,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-E,TOTTENHAM COURT ROAD W1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,E05000129,Bloomsbury,529578,181764,-0.133767,51.519941,"(51.519941, -0.133767)",Fixed CCTV Camera,31/12/2017 03:23:23 AM,1285683
04/02/2015,No,MTC,Moving Traffic Contravention,53J,J,Failing to comply with a restriction on vehicles entering a pedestrian zone - camera enforcement,Yes,CA-D,LAYSTALL STREET EC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531188,182027,-0.110477,51.521933,"(51.521933, -0.110477)",Fixed CCTV Camera,31/12/2017 01:51:45 AM,291129
09/07/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-B,ETON AVENUE NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000128,Belsize,526987,184453,-0.170116,51.54469,"(51.54469, -0.170116)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:03 AM,1102309
08/04/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-H,FROGNAL LANE NW3,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000133,Frognal and Fitzjohns,526031,185503,-0.183526,51.554342,"(51.554342, -0.183526)",Civil Enforcement Officer GPS Location,31/12/2017 02:54:12 AM,962448
24/10/2014,No,CCTV TMA,CCTV Parking Contravention,41J,J,Stopped in a parking place designated for diplomatic vehicles - camera enforcement,Yes,CA-D,BRITANNIA STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,E05000141,King's Cross,530544,182871,-0.119442,51.529667,"(51.529667, -0.119442)",Fixed CCTV Camera,31/12/2017 02:04:13 AM,406657
10/05/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-U,HIGHGATE WEST HILL N6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000137,Highgate,528225,187239,-0.151258,51.569445,"(51.569445, -0.151258)",Civil Enforcement Officer GPS Location,31/12/2017 02:29:07 AM,664019
22/07/2014,No,O/S TMA,On Street Contravention,19Z,Z,"Parked in a residents` or shared use parking place or zone either displaying an invalid permit or voucher or pay and display ticket, or after the expiry of paid for time - out of date permit",No,CA-B,UPPER PARK ROAD NW3,(Private) Car,Yes,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,Yes,Yes,E05000134,Gospel Oak,527603,185306,-0.160928,51.552215,"(51.552215, -0.160928)",Civil Enforcement Officer GPS Location,31/12/2017 02:32:11 AM,682752
28/07/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-H,SOUTH HILL PARK NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,527373,185885,-0.164038,51.557472,"(51.557472, -0.164038)",Civil Enforcement Officer GPS Location,31/12/2017 02:27:24 AM,640060
21/11/2014,No,CCTV TMA,CCTV Parking Contravention,47J,J,Stopped on a restricted bus stop/stand - camera enforcement,Yes,CA-E,TOTTENHAM COURT ROAD W1,Rigid Truck,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529334,182169,-0.137133,51.523636,"(51.523636, -0.137133)",Fixed CCTV Camera,31/12/2017 02:03:46 AM,397688
09/10/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-C,BETTERTON STREET WC2,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530308,181354,-0.123398,51.516082,"(51.516082, -0.123398)",Civil Enforcement Officer GPS Location,31/12/2017 01:51:14 AM,272994
09/08/2014,No,O/S TMA,On Street Contravention,27,,"Parked in a special enforcement area adjacent to a footway, cycle track or verge lowered to meet the level of the carriageway",No,CA-Q,MAYGROVE ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:44:33 AM,154538
01/11/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-F,CHALK FARM ROAD NW1,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528341,184323,-0.150645,51.543219,"(51.543219, -0.150645)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:23 AM,1108318
26/06/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-U,DOYNTON STREET N19,(Private) Car,Yes,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000137,Highgate,528917,186673,-0.141483,51.564202,"(51.564202, -0.141483)",Civil Enforcement Officer GPS Location,31/12/2017 02:28:47 AM,659341
14/07/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-G,ROYAL COLLEGE STREET NW1,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:06 AM,60579
12/07/2014,No,CCTV TMA,CCTV Parking Contravention,47J,J,Stopped on a restricted bus stop/stand - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,Rigid Truck,No,Paid/Closed,Band B (Higher),No,No,No,,No,United Kingdom,No,No,E05000140,Kilburn,525351,183725,-0.19396,51.538517,"(51.538517, -0.19396)",Fixed CCTV Camera,31/12/2017 02:00:28 AM,380840
30/03/2015,No,O/S TMA,On Street Contravention,252,2,Parked in a loading place or bay during restricted hours without loading - goods vehicle loading bays,No,CA-H,HAMPSTEAD HIGH STREET NW3,Large Van,No,Cancelled,Band A (Higher),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:23 AM,152406
06/02/2015,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-Q,KINGSGATE ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:04 AM,137437
28/01/2015,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-J,CHALCOT SQUARE NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528001,184063,-0.155651,51.540959,"(51.540959, -0.155651)",Civil Enforcement Officer GPS Location,31/12/2017 02:50:34 AM,910918
05/06/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-G,HAMPSTEAD ROAD (CA-G) NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:16 AM,211531
01/09/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 02:11:42 AM,492998
04/11/2014,No,CCTV TMA,CCTV Parking Contravention,47J,J,Stopped on a restricted bus stop/stand - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,Other,No,Paid/Closed,Band B (Higher),No,No,No,,No,United Kingdom,No,No,E05000140,Kilburn,525351,183725,-0.19396,51.538517,"(51.538517, -0.19396)",Fixed CCTV Camera,31/12/2017 02:00:28 AM,380685
24/11/2014,No,O/S TMA,On Street Contravention,02,,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force,No,CA-E,GRAFTON WAY W1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,E05000129,Bloomsbury,529418,182224,-0.135898,51.524109,"(51.524109, -0.135898)",Civil Enforcement Officer GPS Location,31/12/2017 03:28:15 AM,1321277
18/10/2014,No,O/S TMA,On Street Contravention,19R,R,"Parked in a residents` or shared use parking place or zone either displaying an invalid permit or voucher or pay and display ticket, or after the expiry of paid for time - residents` bay",No,CA-H,CHURCH ROW NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000133,Frognal and Fitzjohns,526320,185641,-0.17931,51.555519,"(51.555519, -0.17931)",Civil Enforcement Officer GPS Location,31/12/2017 02:36:30 AM,744011
19/04/2014,No,O/S TMA,On Street Contravention,11U,U,Parked without payment of the parking charge  - mobile phone parking,No,CA-C,EARLHAM STREET WC2,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530084,181100,-0.126728,51.51385,"(51.51385, -0.126728)",Civil Enforcement Officer GPS Location,31/12/2017 02:56:03 AM,977014
28/03/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-B,HOWITT ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:53 AM,17475
21/07/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-S,KIDDERPORE AVENUE NW3,(Private) Car,Yes,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:43:37 AM,145185
11/11/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,THURLOW ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,526777,185577,-0.172748,51.554844,"(51.554844, -0.172748)",Civil Enforcement Officer GPS Location,31/12/2017 03:12:40 AM,1144307
25/05/2014,No,CCTV TMA,CCTV Parking Contravention,62J,J,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway - camera enforcement,Yes,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,526494,185684,-0.176785,51.555868,"(51.555868, -0.176785)",Fixed CCTV Camera,31/12/2017 01:50:38 AM,248458
24/04/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-F,BAYHAM STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:50 AM,44021
14/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-B,CONSTANTINE ROAD NW3,N/A,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,Yes,E05000134,Gospel Oak,527380,185531,-0.16406,51.554292,"(51.554292, -0.16406)",Civil Enforcement Officer GPS Location,31/12/2017 03:03:15 AM,1037392
04/11/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-F,ALBERT STREET,(Private) Car,Yes,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528829,183620,-0.143881,51.53679,"(51.53679, -0.143881)",Civil Enforcement Officer GPS Location,31/12/2017 02:27:42 AM,644608
02/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-F,HARTLAND ROAD NW1,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528687,184398,-0.145641,51.543817,"(51.543817, -0.145641)",Civil Enforcement Officer GPS Location,31/12/2017 03:06:38 AM,1094485
25/01/2015,No,O/S TMA,On Street Contravention,12T,T,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - voucher/P&D ticket used in permit bay",No,CA-F,CASTLEHAVEN ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528737,184238,-0.144976,51.542367,"(51.542367, -0.144976)",Civil Enforcement Officer GPS Location,31/12/2017 02:38:26 AM,777213
27/10/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-K,KILBURN PRIORY NW6,(Private) Car,No,WrittenOff,Band A (Lower),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000140,Kilburn,525681,183406,-0.18932,51.535574,"(51.535574, -0.18932)",Civil Enforcement Officer GPS Location,31/12/2017 03:08:35 AM,1127935
25/06/2014,No,O/S TMA,On Street Contravention,05S,S,Parked after the expiry of paid for time - Shared use bay,No,CA-J,REGENTS PARK ROAD (CA-J) NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,527928,183872,-0.156761,51.539262,"(51.539262, -0.156761)",Civil Enforcement Officer GPS Location,31/12/2017 03:14:32 AM,1180728
06/02/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-D,HATTON WALL EC1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531239,181961,-0.109768,51.521327,"(51.521327, -0.109768)",Civil Enforcement Officer GPS Location,31/12/2017 03:39:29 AM,1434231
13/03/2015,No,O/S TMA,On Street Contravention,16Q,Q,Parked in a permit space or zone without clearly displaying a valid permit - market traders` bay,No,CA-F,ARLINGTON ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528759,183916,-0.144781,51.539469,"(51.539469, -0.144781)",Civil Enforcement Officer GPS Location,31/12/2017 02:36:41 AM,748342
21/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-H,HEATH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,526384,185626,-0.178391,51.555372,"(51.555372, -0.178391)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:39 AM,1075292
31/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-Q,PALMERSTON ROAD NW6,(Private) Car,No,WrittenOff,Band A (Lower),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000140,Kilburn,524860,184369,-0.200806,51.544412,"(51.544412, -0.200806)",Civil Enforcement Officer GPS Location,31/12/2017 03:03:46 AM,1045280
24/01/2015,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-D,MECKLENBURGH SQUARE WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000141,King's Cross,530659,182409,-0.11796,51.525487,"(51.525487, -0.11796)",Civil Enforcement Officer GPS Location,31/12/2017 02:47:09 AM,875326
08/08/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,GRAFTON YARD NW5,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000139,Kentish Town,528911,184717,-0.142286,51.54663,"(51.54663, -0.142286)",Civil Enforcement Officer GPS Location,31/12/2017 03:38:03 AM,1408281
20/09/2014,No,O/S TMA,On Street Contravention,12U,U,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - electronic payment",No,CA-D,OLD GLOUCESTER STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530459,181783,-0.121068,51.51991,"(51.51991, -0.121068)",Civil Enforcement Officer GPS Location,31/12/2017 02:38:12 AM,774016
26/01/2015,No,O/S TMA,On Street Contravention,25,,Parked in a loading place or bay during restricted hours without loading,No,CA-L,VICARS ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:17 AM,151441
17/09/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-F,HARMOOD STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:28 AM,52322
14/07/2014,No,O/S TMA,On Street Contravention,12R,R,"Parked in a residents` or shared use parking place or zone without either clearly displaying a valid permit or voucher or pay and display ticket issued for that place, or without payment of the parking charge - residents` bay",No,CA-M,OAKFORD ROAD NW5,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000139,Kentish Town,529018,185739,-0.140376,51.555792,"(51.555792, -0.140376)",Civil Enforcement Officer GPS Location,31/12/2017 02:53:51 AM,956393
13/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-F,LEYBOURNE ROAD NW1,Motorcycle,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528754,184247,-0.144721,51.542439,"(51.542439, -0.144721)",Civil Enforcement Officer GPS Location,31/12/2017 03:04:30 AM,1056693
30/11/2014,No,CCTV TMA,CCTV Parking Contravention,23J,J,Parked in a parking place or area not designated for that class of vehicle - camera enforcement,Yes,CA-C,HIGH HOLBORN WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530730,181561,-0.117248,51.517851,"(51.517851, -0.117248)",Fixed CCTV Camera,31/12/2017 02:25:32 AM,612946
22/11/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-C,GREAT RUSSELL STREET WC1,Rigid Truck,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:56 AM,178196
10/06/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-D,GREAT ORMOND STREET WC1,(Private) Car,No,WrittenOff,Band A (Higher),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530518,182016,-0.120126,51.521987,"(51.521987, -0.120126)",Civil Enforcement Officer GPS Location,31/12/2017 03:40:05 AM,1446370
15/12/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-C,BEDFORD AVENUE WC1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529859,181486,-0.129816,51.517379,"(51.517379, -0.129816)",Civil Enforcement Officer GPS Location,31/12/2017 03:37:57 AM,1406406
03/06/2014,No,O/S TMA,On Street Contravention,24,,Not parked correctly within the markings of the bay or space,No,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:11 AM,150401
29/05/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-B,ETON AVENUE NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000128,Belsize,526942,184438,-0.170768,51.54457,"(51.54457, -0.170768)",Civil Enforcement Officer GPS Location,31/12/2017 03:06:29 AM,1091751
01/09/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-Q,HEMSTAL ROAD NW6,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000145,West Hampstead,525176,184420,-0.196231,51.544802,"(51.544802, -0.196231)",Civil Enforcement Officer GPS Location,31/12/2017 02:29:23 AM,667879
29/11/2014,No,CCTV TMA,CCTV Parking Contravention,62J,J,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway - camera enforcement,Yes,CA-L,MALDEN ROAD NW5,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000136,Haverstock,528006,185141,-0.155185,51.550647,"(51.550647, -0.155185)",Fixed CCTV Camera,31/12/2017 01:50:21 AM,236059
06/10/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-U,TWISDEN ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000137,Highgate,528799,185968,-0.14345,51.557897,"(51.557897, -0.14345)",Civil Enforcement Officer GPS Location,31/12/2017 02:31:34 AM,673494
08/02/2015,No,MTC,Moving Traffic Contravention,32D,D,Failing to drive in the direction shown by the arrow on a blue sign (proceeding in the wrong direction),Yes,CA-C,SHAFTESBURY AVENUE WC2,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,E05000138,Holborn and Covent Garden,530119,181304,-0.126143,51.515683,"(51.515683, -0.126143)",Fixed CCTV Camera,31/12/2017 02:15:08 AM,531779
07/09/2014,No,O/S TMA,On Street Contravention,40,,Parked in a designated disabled persons parking place without displaying a valid disabled persons badge in the prescribed manner,No,CA-C,GREAT QUEEN STREET WC2,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530465,181280,-0.121163,51.515382,"(51.515382, -0.121163)",Civil Enforcement Officer GPS Location,31/12/2017 02:04:51 AM,418391
16/04/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-M,GREENWOOD PLACE NW5,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000139,Kentish Town,528839,185436,-0.143063,51.55311,"(51.55311, -0.143063)",Civil Enforcement Officer GPS Location,31/12/2017 03:13:15 AM,1157644
17/04/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 02:11:50 AM,495292
16/02/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-B,LANCASTER GROVE NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000128,Belsize,527300,184538,-0.165581,51.545382,"(51.545382, -0.165581)",Civil Enforcement Officer GPS Location,31/12/2017 03:33:06 AM,1393623
30/04/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-F,CHALK FARM ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528246,184364,-0.15201,51.543612,"(51.543612, -0.15201)",Civil Enforcement Officer GPS Location,31/12/2017 03:07:25 AM,1108651
15/12/2014,No,O/S TMA,On Street Contravention,25,,Parked in a loading place or bay during restricted hours without loading,No,CA-L,WILLES ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000139,Kentish Town,528806,184791,-0.143771,51.547319,"(51.547319, -0.143771)",Civil Enforcement Officer GPS Location,31/12/2017 02:24:45 AM,599977
30/06/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-E,HUNTLEY STREET WC1,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000129,Bloomsbury,529478,182155,-0.135065,51.523479,"(51.523479, -0.135065)",Civil Enforcement Officer GPS Location,31/12/2017 03:08:03 AM,1119134
01/05/2014,No,O/S TMA,On Street Contravention,16Q,Q,Parked in a permit space or zone without clearly displaying a valid permit - market traders` bay,No,CA-D,HATTON GARDEN EC1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531298,182009,-0.108893,51.521745,"(51.521745, -0.108893)",Civil Enforcement Officer GPS Location,31/12/2017 02:36:47 AM,750130
07/04/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-E,WHITFIELD STREET W1,N/A,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529229,182179,-0.138638,51.523744,"(51.523744, -0.138638)",Civil Enforcement Officer GPS Location,31/12/2017 01:51:18 AM,275312
